index,text,label
134,"In addition to the estimated 45,000 Marines to ultimately be part of Operation Desert Shield , Stealth fighter planes and the aircraft carrier John F. Kennedy are also headed to Saudi Arabia to protect it from Iraqi expansionism .",0
135,"In Washington , Pentagon spokesman Pete Williams said Iraq has continued to increase its armed forces in Kuwait and they now number about 160,000 .",0
136,"Saddam has been under international quarantine since his Aug . 2 power-grab , or what he calls an "" eternal merger "" with Kuwait .",0
137,"In a long verbal attack read on Iraqi television Thursday , Saddam repeatedly called Bush "" a liar "" and said a shooting war could produce body bags courtesy of Baghdad .",0
138,""" We continue to pray and pray hard to God so that there will be no confrontation whereby you will receive thousands of Americans wrapped in sad coffins after you had pushed them into a dark tunnel , "" Saddam said .",0
139,He called U.S. soldiers massing in Saudi Arabia the real occupiers in the Persian Gulf .,0
140,"Replied State Department deputy spokesman Richard Boucher , "" We have n't really analyzed the statement in detail but it appears to be just another example of his outlandish rhetoric and his attempts to distort the truth .",0
141,""" We believe that his words can not distract the world from the facts of Iraqi aggression . """,0
142,""" We do n't just arrive , "" said four-star Gen. John Dailey , assistant commandant of the U.S. Marine Corps .",0
143,""" We 're there to stay for a fairly lengthy period . """,0
144,"Egypt , Syria , Morocco and Bangladesh also committed ground troops , to a much lesser degree .",0
145,The U.S. Navy has 27 ships in the maritime barricade of Iraq .,0
146,"They are aided by Britain , West Germany , Australia , Canada , the Netherlands and Belgium .",0
147,"Bush was expected to authorize naval commanders to use "" the minimum force necessary "" to interdict shipments to and from Iraq , a U.S. official said .",0
148,That could include firing across the bow to halt a ship .,0
149,"In the air , U.S. Air Force fliers say they have engaged in "" a little cat and mouse "" with Iraqi warplanes , which have retreated when weapons radar locks onto them .",0
150,""" They do n't want to play with us , "" one U.S. crew chief said .",0
151,"In Kuwait , the Iraqis have rimmed the capital city with an air-defense system , according to a U.S. official who spoke on the condition of anonymity .",0
152,"He declined to say if the weapons included missiles , but the Iraqis have them in their arsenal .",0
153,The Iraqis also possess chemical weapons .,0
154,The combined operations are designed to isolate and strangle Iraq until it retreats from Kuwait .,0
155,The economic chokehold appears to be working .,0
156,"The Lloyd 's List International newspaper , which monitors worldwide shipping , said Iraq 's fleet of 80 tankers and cargo ships has stopped regular trading .",0
157,"John Prescott , a shipping correspondent , said there was no shipping in Kuwaiti or Iraqi ports and that activity was trailing off in the Jordanian port of Aqaba .",0
158,Bush 's chief objective in his meeting with Hussein was to press the king to shut down Iraq 's food and oil supply route from Aqaba on the Red Sea .,0
159,Aqaba is Iraq 's only outlet now that an international noose has tightened .,0
160,Bush has indicated the U.S. Navy will barricade the port from Iraqi ships .,0
161,"He also said of trade with Iraq : "" There are no shipments at the moment . """,0
162,"A day earlier , scores of trucks , many with Iraqi license plates , streamed north out of Aqaba to Amman and onto the desert highway bound for Iraq .",0
163,"The Jordanian monarch met this week with Saddam , but he told reporters he had no message from Baghdad .",0
164,""" I am not talking on behalf of anyone in the area ... but myself , "" Hussein said .",0
165,"In the United Nations , Libya called for the replacement of U.S. forces in the Persian Gulf with Arab League forces and U.N. soldiers .",0
166,"Libyan leader Moammar Gadhafi , in a letter to the U.N. Secretary - General , also called for an emergency Security Council meeting in Geneva to remove U.S. forces .",0
167,There was no decision on a meeting .,0
168,"Thirty-two of the 159 U.N. members had filed compliance reports by Wednesday , and all were honoring the sanctions Iraq .",0
169,"Also Thursday , Saudi Arabia called for an emergency conference of the Organization of Petroleum Exporting Countries to discuss how much oil to pump .",0
170,The minister denied the kingdom had notified notified any of its customers of any cutbacks in oil supply .,0
171,"Reports attributed to the Japanese foreign ministry said Saudi Arabia told U.S., European and Japanese oil companies of a 15-20 percent cutback in its oil supply in September .",0
172,"Thomson , in India to talk to tourism leaders , said the flights would provide extra support to the growing tourism market .",1
173,"CANBERRA , Australia ( AP ) _ Qantas will almost double its flights between Australia and India by August in the search for new markets untouched by the crippling Asian financial crisis .",0
174,"This move comes barely a month after Qantas suspended a number of services between Australia , Indonesia , Thailand and Malaysia in the wake of the Asian economic crisis .",0
175,The airline has also cut all flights to South Korea .,0
176,"Qantas plans daily flights between Sydney and Bombay , up from the current four flights a week , to boost business and tourism ties with India , the airline announced Friday .",0
177,"In a joint statement with Tourism Minister Andrew Thomson , it said two new flights would leave Bombay on Monday and Tuesday nights from March 30 , with the third departing each Thursday from August 6 .",0
178,This will add nearly 700 seats a week on the route .,0
179,Pol Pot is considered responsible for the radical policies that led to the deaths of as many as 1.7 million Cambodians when the communist group held power in the late 1970s .,1
180,"O 'SMACH , Cambodia ( AP ) _ The top commander of a Cambodian resistance force said Thursday he has sent a team to recover the remains of a British mine removal expert kidnapped and presumed killed by Khmer Rouge guerrillas almost two years ago .",0
181,"Gen. Nhek Bunchhay , a loyalist of ousted Cambodian Prime Minister Prince Norodom Ranariddh , said in an interview with The Associated Press at his hilltop headquarters that he hopes to recover the remains of Christopher Howes within the next two weeks .",0
182,Howes had been working for the Britain-based Mines Advisory Group when he was abducted with his Cambodian interpreter Houn Hourth in March 1996 .,0
183,There were many conflicting accounts of his fate .,0
184,"Howes ' team was clearing mines 17 kilometers ( 10 miles ) from Angkor Wat , the fabled 11th century temple that is Cambodia 's main tourist attraction , when it was attacked .",0
185,"In January this year , British police officers who had been searching for Howes concluded he had probably been killed soon after being captured .",0
186,"The Foreign Office said it had informed the family of Howes , 37 years old when he was kidnapped , that he probably died within weeks or months of his capture on March 26 , 1996 .",0
187,""" Obviously , it is deeply discouraging for the family after 22 months , but there is no proof of life .",0
188,"But there is no evidence in either direction _ that there is proof of life or death , "" said a Foreign Office spokesman , speaking with customary anonymity .",0
189,""" We will continue to do everything we can to establish what has happened . """,0
190,"Thai military officials who monitor Cambodian affairs said privately Thursday that Britain , through its embassies in Thailand and Cambodia , has been pushing hard to resolve the Howes case as the second anniversary of his abduction nears .",0
191,"Nhek Bunchhay , who had been closely involved in the search for Howes before having to flee the Cambodian capital after a coup d ' etat last year , appeared confident he would find Howes ' remains .",0
192,"He said he received information from Khmer Rouge guerrillas on where the body had been buried , and recently ordered 10 of his men from a force of 500 near Khmer Rouge headquarters in Anlong Veng to conduct the search .",0
193,"If and when the remains are found , he said , they would be turned over to the British Embassy , apparently meaning they would be sent across the border into Thailand and onward to Bangkok .",0
194,"Nhek Bunchhay said he now believed Howes had been killed within a week of his capture by a Khmer Rouge faction loyal to Pol Pot , then the guerrilla group 's leader .",0
195,"But the group began to fall apart in mid-1996 after the defection of one of its top leaders , Ieng Sary .",0
196,"Other commanders , and thousands of guerrillas , followed him .",0
197,A small hardcore group under Pol Pot continued to hold out at their headquarters at Anlong Veng in northern Cambodia near the Thai border .,0
198,"But in June last year , the remaining leadership had a falling out , and Pol Pot was arrested .",0
199,"In July last year in Phnom Penh , Cambodia 's capital , Second Prime Minister Hun Sen staged a successful coup d ' etat against First Prime Minister Prince Norodom Ranariddh .",0
200,"Ranariddh 's loyalists , including Nhek Bunchhay , his top military commander , went into hiding or fled the capital .",0
201,"Nhek Bunchhay , evading an intensive manhunt , made his way to O 'Smach , the last major outpost held by Ranariddh 's forces .",0
202,His men have held the stronghold _ which is on the border just opposite the Thai province of Surin _ against repeated intense attacks by Hun Sen 's troops .,0
203,"Seventy-five million copies of the rifle have been built since it entered production in February 1947 , making it history 's most widely distributed weapon .",1
204,"MOSCOW ( AP ) _ The mayor of Moscow has allocated funds to help build a museum in honor of Mikhail Kalashnikov , the Russian who gave his name to the world 's most widely wielded weapon , according to a news agency report Friday .",0
205,"Kalashnikov designed the AK-47 automatic rifle , famed for its reliability and effectiveness .",0
206,"Together with its derivatives , the Kalashnikov rifle has been used by the police and armies of 55 countries and an assortment of guerrillas , terrorists and just plain thugs around the globe .",0
207,"THE HAGUE , Netherlands ( AP ) _ The World Court Friday rejected U.S. and British objections to a Libyan World Court case that has blocked the trial of two Libyans suspected of blowing up a Pan Am jumbo jet over Scotland in 1988 .",1
208,"Both U.S. and British officials filed objections to the court 's jurisdiction in 1995 , claiming Security Council resolutions imposed on Lybia to force the suspects ' extradition overruled a 1971 Convention which gives Libya the right to try the men .",1
209,Har - Shefi said she heard Amir talk about killing Rabin but did not tell the police because she did not believe he was serious .,1
210,"JERUSALEM ( AP ) _ Taking the stand in her own defense , a friend of Yitzhak Rabin 's assassin said Friday that she regretted calling the prime minister a traitor and praying for his death .",0
211,"Margalit Har - Shefi , 22 , has pleaded innocent to charges that she failed to report Yigal Amir 's plan to kill Rabin .",0
212,She took the stand for more than four hours Friday in a Tel Aviv magistrate 's court .,0
213,"Amir , 27 , is serving a life sentence for the November 1995 assassination of Rabin at a Tel Aviv peace rally .",0
214,Newspaper reports have said Amir was infatuated with Har - Shefi and may have been trying to impress her by killing the prime minister .,0
215,Har - Shefi acknowledged she told police interrogators that Rabin was a traitor and that she prayed for him to have a heart attack and die .,0
216,"She said Rabin 's murder was "" a black stain on Israel , "" Israel radio and Israel army radio reported .",0
217,"The rabbi said called the talk about killing Rabin "" nonsense , "" and said Jews are prohibited from killing one another , the radio reports said .",0
218,"Har - Shefi described Amir as an "" original thinker , "" as well as delusional and a liar .",0
219,"She also denied accusations made by Amir 's brother , Hagai , that she joined an anti-Arab underground movement .",0
220,"The assassination touched off a murderous rampage by Hutu security forces and civilians , who slaughtered mainly Tutsis but also Hutus who favored reconciliation with the minority .",1
221,"The assassination touched off a murderous rampage by Hutu security forces and civilians , who slaughtered mainly Tutsis but also Hutus who favored reconciliation with the minority . It also reignited the civil war .",1
222,"ADDIS ABABA , Ethiopia ( AP ) _ The Organization of African Unity said Friday it would investigate the Hutu-organized genocide of more than 500,000 minority Tutsis in Rwanda nearly four years ago .",0
223,"Foreign ministers of member-states meeting in the Ethiopian capital agreed to set up a seven-member panel to investigate who shot down Rwandan President Juvenal Habyarimana 's plane on April 6 , 1994 .",0
224,"The investigation will consider the role of "" internal and external forces prior to the genocide and subsequently , and the role of the United Nations and its agencies and the OAU before , during and after the genocide , "" the OAU said .",0
225,"The panel will be based in Addis Ababa , and will finish its investigation within a year , it said .",0
226,It is to be funded by voluntary contributions from within and outside the continent .,0
227,"However , Russia has stalled ratification , trying to tie it to an agreement that would permit the Russian navy to use a naval base on Ukraine 's Crimean peninsula for at least 20 more years .",1
228,"MOSCOW ( AP ) _ Presidents Leonid Kuchma of Ukraine and Boris Yeltsin of Russia signed an economic cooperation plan Friday , and Yeltsin claimed they resolved even more nagging problems .",0
229,"Russia and Ukraine share similar cultures and languages , and Ukraine was ruled from Moscow for centuries .",0
230,"But while the two Slavic neighbors see themselves as natural partners , their relations since the breakup of the Soviet Union have been bedeviled by a number of disputes _ Black Sea naval bases , border problems and Ukraine 's natural gas debts .",0
231,""" We have covered the entire list of questions and discussed how we will be tackling them , "" Yeltsin was quoted as saying by the ITAR - Tass news agency .",0
232,""" I must say there are no unsettled problems any more .",0
233,"We have solved them all . """,0
234,"But his sweeping statement contained no details , and gave no indication of how the disputes could be resolved .",0
235,Their solution would require a compromise between the two nations ' parliaments .,0
236,"A major dispute concerns a broad political treaty calling for border demarcation , which the two presidents signed last May .",0
237,"In effect , the treaty amounts to Russian recognition of Ukraine 's sovereignty and borders , and the Ukrainian parliament has already ratified it .",0
238,"Kuchma assured Yeltsin that Ukraine would not join NATO , Yeltsin 's spokesman Sergei Yastrzhembsky said , according to the Interfax news agency .",0
239,The Russian leadership has staunchly opposed the western alliance 's expansion into Eastern Europe .,0
240,"In their joint statement , released by the Kremlin , the two leaders also pledged to consult each other regularly on their approaches to relations with NATO and , in particular , their action within the framework of NATO 's Partnership for Peace program .",0
241,"Last year , Russian officials assailed Ukraine for holding joint naval exercises with NATO in the Black Sea _ an area Moscow considers its own turf .",0
242,Kuchma has said repeatedly that Ukraine would remain neutral for the foreseeable future .,0
243,"Yeltsin and Kuchma also called for developing the stagnant relations between the members of the Commonwealth of Independent States , a loose coalition of former Soviet republics .",0
244,"In the past , Russia has often claimed that Ukraine was undermining efforts at closer cooperation within the CIS .",0
245,"A major goal of Kuchma 's four-day state visit was the signing of a 10-year economic program aimed at doubling the two nations ' trade turnover , which fell to dlrs 14 billion last year , down dlrs 2.5 billion from 1996 .",0
246,"The two presidents on Friday signed the plan , which calls for cooperation in the metallurgy , fuel , energy , aircraft building , missile , space and chemical industries .",0
247,"A major project is joint manufacturing of An-70 cargo planes , the Kremlin statement said .",0
248,"The program also calls for coordination of economic reforms and joint improvement of social programs in the two countries , where many people have become impoverished during the chaotic post-Soviet transition to capitalism .",0
249,"Kuchma also planned to visit Russian gas giant Gazprom , most likely to discuss Ukraine 's dlrs 1.2 billion debt to the company .",0
250,Cabinet minister Michael Eitan said Sunday that Netanyahu 's remarks marked a substantive change in Israel 's position .,1
251,The Maariv newspaper said Sunday that Netanyahu 's comments last week were in response to signals from Syria that it wants to renew the long-stalled peace talks between the two countries .,1
252,"Defense Minister Yitzhak Mordechai was the first senior Israeli official to refer to U.N. resolution 425 in a speech six weeks ago , saying at the time he was willing to withdraw troops in exchange for guarantees that Israel would not be attacked .",1
253,"JERUSALEM ( AP ) _ Top Israeli officials sent strong new signals Sunday that Israel wants to withdraw from southern Lebanon , where a costly war of attrition has been steadily claiming soldiers ' lives .",0
254,Prime Minister Benjamin Netanyahu told his Cabinet on Sunday that Israel was willing to withdraw from southern Lebanon provided Israel 's northern frontier could be secured .,0
255,""" If the Lebanese government will cooperate with us in making appropriate security arrangements in south Lebanon , we will be happy to get out of Lebanon in the framework of implementation of U.N. Resolution 425 , "" Netanyahu told his ministers .",0
256,"That 1978 resolution calls for Israel 's unconditional withdrawal from the self-declared security zone it occupies in south Lebanon , and for the deployment of the Lebanese army and U.N. forces to ensure security along the Lebanese - Israeli border .",0
257,"On Friday , Netanyahu said he had "" no qualms "" about implementing the U.N. resolution , as long as Israel had "" the necessary security safeguards . """,0
258,""" No one wants to stay in Lebanon ;",0
259,"thus we think it better to withdraw . """,0
260,"Uri Lubrani , Israel 's top official for Lebanon affairs , also suggested Israel was willing to modify its political goals in Lebanon .",0
261,""" This is a new thing ... it means that we are willing to talk today _ full stop _ about security , "" Lubrani told Israel 's Channel One .",0
262,""" We have gotten off the issue of peace , off the issue of normalization . """,0
263,"As the death toll in Lebanon has mounted , the Israeli government has been faced with a growing grassroots movement calling for Israel 's unilateral withdrawal from Lebanon .",0
264,Since 1985 _ when the Israelis created a security buffer zone southern Lebanon _ nearly 200 Israeli soldiers have been killed fighting Hezbollah and other guerrillas .,0
265,"Last week , Hezbollah fighters killed three Israeli soldiers and seriously wounded six others .",0
266,The Israelis suffered a record 39 deaths in southern Lebanon last year .,0
267,"In addition , 73 soldiers were killed en route to Lebanon when two military helicopters crashed last February .",0
268,"Two top aides to Netanyahu , political adviser Uzi Arad and Cabinet Secretary Danny Naveh , left for Europe on Sunday , apparently to investigate the Syrian issue , the newspaper said .",0
269,Israel - Syrian talks have been cut off for nearly two years .,0
270,"Then the Baghdad government stopped providing Ritter 's team with escorts , making it impossible for him to enter any site .",1
271,"Ritter 's return is seen as something of a test of that agreement , under which Iraq agreed to give inspectors full access to eight of Saddam Hussein 's presidential palaces .",1
272,The Security Council has said it will not lift the sweeping sanctions imposed on Iraq after its 1990 invasion of Kuwait until the U.N. inspectors certify that Baghdad has eliminated its weapons of mass destruction .,1
273,"BAGHDAD , Iraq ( AP ) _ An American leader of a U.N. weapons inspection team resumed work in Iraq Friday , nearly two months after his team was effectively blocked .",0
274,"Scott Ritter led his team on a 10-hour tour of three suspected weapons sites classified as "" sensitive "" by the Iraqi authorities , U.N. spokesman Alan Dacey said .",0
275,""" All sites were inspected to the satisfaction of the inspection team and with full cooperation of Iraqi authorities , "" Dacey said .",0
276,"At least one of the sensitive sites was a barracks of the elite Republican Guard , a well-placed source told The Associated Press .",0
277,Previously the Iraqis have resisted attempts to inspect such quarters .,0
